,cc-pwCV5Z,aug-cc-pvt+dz,aug-pc-3,Def2-TZVP,Def2-QZVP,aug-cc-pvd+dz,Def2-TZVPPD,Def2-QZVPPD,Def2-SVP,aug-pc-0,aug-cc-pv5+dz,aug-pc-4,cc-pwCVTZ,cc-pwCVQZ,aug-pc-1,aug-cc-pvqz,cc-pwCVDZ,aug-cc-pvtz,aug-pc-2,aug-cc-pvq+dz,aug-cc-pv5z,aug-cc-pvdz
49_In.out,-0.099242447,,,-0.099272665,-0.099248454,,-0.099252589,-0.09924769,-0.099385648,,,,-0.099258759,-0.099248326,,-0.099249886,-0.099325493,-0.099250441,,,-0.099247314,-0.099326331
50_Sn.out,-0.101742883,,,-0.101778417,-0.10174568,,-0.101764128,-0.10174558,-0.101875455,,,,-0.101753014,-0.101748709,,-0.101748119,-0.101829137,-0.101750926,,,-0.101747427,-0.101838936
51_Sb.out,-0.105617149,,,-0.105655802,-0.10561724,,-0.105633309,-0.10561718,-0.105706922,,,,-0.105620225,-0.105618915,,-0.10561937,-0.105648302,-0.105620531,,,-0.105618276,-0.105654487
52_Te.out,-0.1129911,,,-0.113099202,-0.113001902,,-0.113078686,-0.113000266,-0.113388994,,,,-0.113058726,-0.11299981,,-0.113005123,-0.113346912,-0.113018023,,,-0.113001939,-0.113291313
53_I.out,-0.123098488,,,-0.121279396,-0.121205366,,-0.121269534,-0.121204231,-0.121545934,,,,-0.123158334,-0.123107326,,-0.12311534,-0.123393139,-0.123128638,,,-0.123113005,-0.123335342
54_Xe.out,-0.129554384,,,-0.129565172,-0.129557656,,-0.129555775,-0.129556708,-0.129565172,,,,-0.129558396,-0.1295567,,-0.12955706,-0.129572259,-0.129554578,,,-0.129556609,-0.129545903
55_Cs.out,0.0,,,-0.042645182,-0.042648296,,-0.042646576,-0.042648264,-0.042645252,,,,0.0,0.0,,,0.0,,,,,
56_Ba.out,0.0,,,-0.050742884,-0.05074286,,-0.050742884,-0.050742701,-0.050659601,,,,0.0,0.0,,,0.0,,,,,
57_La.out,0.0,,,-0.057240397,-0.055432855,,-0.057133836,-0.055411808,-0.055654514,,,,0.0,0.0,,,0.0,,,,,
72_Hf.out,-0.0630784,,,-0.063106535,-0.062894332,,-0.060653591,-0.060358092,-0.06308542,,,,-0.063099628,-0.06308111,,-0.062939166,-0.063165803,-0.0630076,,,-0.062926022,-0.063440279
73_Ta.out,-0.066803723,,,-0.069501337,-0.069202582,,-0.067068134,-0.06918818,-0.069509451,,,,-0.069362581,-0.069335491,,-0.066921176,-0.069504585,-0.066906176,,,-0.066904623,-0.067322836
74_W.out,-0.07218696,,,-0.075292261,-0.072259361,,-0.075070592,-0.075033132,-0.07240523,,,,-0.072253948,-0.074576339,,-0.072208361,-0.072555828,-0.072319002,,,-0.07219456,-0.074417013
75_Re.out,-0.079811665,,,-0.081191877,-0.079969654,,-0.079854598,-0.079964944,-0.080003216,,,,-0.079965667,-0.079822859,,-0.079819746,-0.080065861,-0.079843617,,,-0.079953142,-0.080032376
76_Os.out,-0.094385323,,,-0.094923957,-0.09472234,,-0.094574688,-0.094125499,-0.096287002,,,,-0.094405526,-0.094396372,,-0.094377277,-0.096561571,-0.09441436,,,-0.094349034,-0.094693541
77_Ir.out,-0.108276464,,,-0.111162383,-0.108156645,,-0.108188472,-0.108142484,-0.108329319,,,,-0.11142663,-0.108634286,,-0.108289915,-0.111174774,-0.108319909,,,-0.108271988,-0.108543203
78_Pt.out,-0.121568555,,,-0.121542508,-0.121332982,,-0.12135331,-0.121314415,-0.12157003,,,,-0.121605358,-0.121576486,,-0.121643985,-0.121745045,-0.121597319,,,-0.121565845,-0.121787492
79_Au.out,-0.133295192,,,-0.133310781,-0.133277916,,-0.133278859,-0.133277738,-0.133285633,,,,-0.133299981,-0.13329636,,-0.133298249,-0.133329014,-0.13330004,,,-0.133294037,-0.133367969
80_Hg.out,-0.147004831,,,-0.147094522,-0.147086141,,-0.147094554,-0.147086511,-0.147098935,,,,-0.147007909,-0.147006351,,-0.147003344,-0.147008173,-0.147004836,,,-0.14700371,-0.146946168
81_Tl.out,-0.121036642,,,-0.121070496,-0.121044088,,-0.121044098,-0.121043256,-0.121144387,,,,-0.12105294,-0.121042339,,-0.121042749,-0.121115867,-0.121041349,,,-0.121040935,-0.121055477
82_Pb.out,-0.123098647,,,-0.123129025,-0.123102147,,-0.123116575,-0.123101978,-0.123215578,,,,-0.123107969,-0.123101695,,-0.123104768,-0.123165262,-0.12310149,,,-0.123103012,-0.123131574
83_Bi.out,-0.12666838,,,-0.126710568,-0.126670688,,-0.126703103,-0.126670714,-0.126804591,,,,-0.126667753,-0.126672806,,-0.126670459,-0.126707583,-0.126667975,,,-0.126669384,-0.126711953
84_Po.out,-0.135025866,,,-0.135106999,-0.135033512,,-0.135088856,-0.135032525,-0.135457135,,,,-0.135097067,-0.135037542,,-0.135036904,-0.135350505,-0.135054091,,,-0.135033464,-0.135294102
85_At.out,0.0,,,-0.144029468,-0.143966356,,-0.144016732,-0.143966983,-0.144350467,,,,-0.144028107,-0.143972603,,-0.143973468,-0.144237319,-0.143993898,,,-0.143970104,-0.144181272
86_Rn.out,,,,-0.15308945,-0.153077912,,-0.153085667,-0.153077591,-0.15308945,,,,-0.153077647,-0.153077422,,-0.153077661,-0.153103407,-0.153076548,,,-0.153077496,-0.153033561
